SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 3,56 ; 23,00 ; 42,69 ; 2,61 ;;;;;;;;;;;;;;;;
 3,51 ; 22,95 ; 43,36 ; 2,51 ;;;;;;;;;;;;;;;;
 3,51 ; 24,21 ; 44,75 ; 2,54 ;;;;;;;;;;;;;;;;
 3,49 ; 24,87 ; 44,15 ; 2,46 ;;;;;;;;;;;;;;;;
 3,51 ; 25,57 ; 43,32 ; 2,37 ;;;;;;;;;;;;;;;;
 3,41 ; 24,90 ; 43,66 ; 2,30 ;;;;;;;;;;;;;;;;
 3,44 ; 25,00 ; 44,42 ; 2,33 ;;;;;;;;;;;;;;;;
 3,47 ; 24,98 ; 44,53 ; 2,47 ;;;;;;;;;;;;;;;;
 3,42 ; 24,90 ; 43,10 ; 2,45 ;;;;;;;;;;;;;;;;
 3,48 ; 24,85 ; 42,95 ; 2,56 ;;;;;;;;;;;;;;;;
 3,45 ; 27,00 ; 42,60 ; 2,59 ;;;;;;;;;;;;;;;;
 3,43 ; 27,35 ; 41,89 ; 2,48 ;;;;;;;;;;;;;;;;
 3,42 ; 27,95 ; 41,68 ; 2,54 ;;;;;;;;;;;;;;;;
 3,47 ; 29,23 ; 42,06 ; 2,71 ;;;;;;;;;;;;;;;;
 3,44 ; 28,49 ; 41,71 ; 2,94 ;;;;;;;;;;;;;;;;
 3,41 ; 28,83 ; 41,04 ; 2,85 ;;;;;;;;;;;;;;;;
 3,44 ; 27,90 ; 40,77 ; 2,84 ;;;;;;;;;;;;;;;;
 3,41 ; 27,90 ; 41,42 ; 2,87 ;;;;;;;;;;;;;;;;
 3,46 ; 28,54 ; 41,43 ; 2,89 ;;;;;;;;;;;;;;;;
 3,43 ; 28,78 ; 42,57 ; 2,82 ;;;;;;;;;;;;;;;;
 3,44 ; 28,37 ; 42,49 ; 2,78 ;;;;;;;;;;;;;;;;
 3,40 ; 27,09 ; 42,59 ; 2,81 ;;;;;;;;;;;;;;;;
 3,42 ; 26,31 ; 43,09 ; 2,75 ;;;;;;;;;;;;;;;;
 3,45 ; 26,94 ; 43,95 ; 2,83 ;;;;;;;;;;;;;;;;
 3,48 ; 28,15 ; 41,96 ; 2,89 ;;;;;;;;;;;;;;;;
 3,51 ; 27,60 ; 41,52 ; 2,85 ;;;;;;;;;;;;;;;;
 3,51 ; 25,57 ; 41,55 ; 2,80 ;;;;;;;;;;;;;;;;
 3,50 ; 25,45 ; 41,27 ; 2,84 ;;;;;;;;;;;;;;;;
 3,59 ; 25,40 ; 41,08 ; 2,89 ;;;;;;;;;;;;;;;;
 3,52 ; 25,12 ; 40,85 ; 2,83 ;;;;;;;;;;;;;;;;
 3,53 ; 25,50 ; 40,26 ; 2,80 ;;;;;;;;;;;;;;;;
 3,46 ; 24,99 ; 40,48 ; 2,90 ;;;;;;;;;;;;;;;;
 3,53 ; 24,98 ; 40,27 ; 2,97 ;;;;;;;;;;;;;;;;
 3,57 ; 24,78 ; 40,25 ; 2,95 ;;;;;;;;;;;;;;;;
 3,60 ; 26,50 ; 40,80 ; 3,12 ;;;;;;;;;;;;;;;;
 3,58 ; 25,46 ; 41,85 ; 3,01 ;;;;;;;;;;;;;;;;
 3,64 ; 24,30 ; 41,43 ; 3,02 ;;;;;;;;;;;;;;;;
 3,61 ; 24,10 ; 42,78 ; 3,05 ;;;;;;;;;;;;;;;;
 3,60 ; 23,61 ; 43,56 ; 3,05 ;;;;;;;;;;;;;;;;
 3,63 ; 24,09 ; 43,38 ; 3,02 ;;;;;;;;;;;;;;;;
 3,66 ; 24,90 ; 43,99 ; 3,01 ;;;;;;;;;;;;;;;;
 3,73 ; 25,70 ; 43,95 ; 3,08 ;;;;;;;;;;;;;;;;
 3,70 ; 23,60 ; 44,04 ; 3,06 ;;;;;;;;;;;;;;;;
 3,62 ; 22,01 ; 44,03 ; 3,01 ;;;;;;;;;;;;;;;;
 3,63 ; 23,07 ; 44,77 ; 2,96 ;;;;;;;;;;;;;;;;
 3,63 ; 23,15 ; 44,53 ; 3,02 ;;;;;;;;;;;;;;;;
 3,61 ; 23,40 ; 43,77 ; 3,10 ;;;;;;;;;;;;;;;;
 3,55 ; 23,06 ; 43,90 ; 3,06 ;;;;;;;;;;;;;;;;
 3,50 ; 22,07 ; 43,82 ; 3,00 ;;;;;;;;;;;;;;;;
 3,51 ; 21,60 ; 44,67 ; 3,03 ;;;;;;;;;;;;;;;;
 3,51 ; 22,19 ; 44,76 ; 2,99 ;;;;;;;;;;;;;;;;
 3,52 ; 22,40 ; 44,71 ; 2,95 ;;;;;;;;;;;;;;;;
 3,53 ; 21,45 ; 43,52 ; 3,03 ;;;;;;;;;;;;;;;;
 3,52 ; 21,35 ; 43,75 ; 3,12 ;;;;;;;;;;;;;;;;
 3,49 ; 21,34 ; 43,61 ; 3,16 ;;;;;;;;;;;;;;;;
 3,48 ; 22,03 ; 42,23 ; 3,17 ;;;;;;;;;;;;;;;;
 3,50 ; 22,09 ; 43,57 ; 3,27 ;;;;;;;;;;;;;;;;
 3,51 ; 23,33 ; 43,90 ; 3,29 ;;;;;;;;;;;;;;;;
 3,56 ; 22,80 ; 43,87 ; 3,33 ;;;;;;;;;;;;;;;;
 3,50 ; 23,30 ; 44,11 ; 3,20 ;;;;;;;;;;;;;;;;
 3,46 ; 22,50 ; 42,41 ; 3,04 ;;;;;;;;;;;;;;;;
 3,43 ; 23,16 ; 42,33 ; 3,05 ;;;;;;;;;;;;;;;;
 3,42 ; 21,29 ; 41,69 ; 3,03 ;;;;;;;;;;;;;;;;
 3,38 ; 21,27 ; 42,18 ; 3,47 ;;;;;;;;;;;;;;;;
 3,43 ; 21,74 ; 42,58 ; 3,52 ;;;;;;;;;;;;;;;;
 3,43 ; 22,53 ; 42,55 ; 3,42 ;;;;;;;;;;;;;;;;
 3,40 ; 21,76 ; 42,50 ; 3,40 ;;;;;;;;;;;;;;;;
 3,33 ; 21,00 ; 41,78 ; 3,38 ;;;;;;;;;;;;;;;;
 3,24 ; 21,76 ; 41,93 ; 3,33 ;;;;;;;;;;;;;;;;
 3,32 ; 21,29 ; 42,28 ; 3,51 ;;;;;;;;;;;;;;;;
 3,24 ; 21,05 ; 41,69 ; 3,42 ;;;;;;;;;;;;;;;;
 3,24 ; 20,23 ; 41,07 ; 3,28 ;;;;;;;;;;;;;;;;
 3,15 ; 19,95 ; 40,94 ; 3,42 ;;;;;;;;;;;;;;;;
 3,20 ; 20,70 ; 41,18 ; 3,56 ;;;;;;;;;;;;;;;;
 3,19 ; 18,75 ; 40,62 ; 3,50 ;;;;;;;;;;;;;;;;
 3,13 ; 17,53 ; 41,63 ; 3,53 ;;;;;;;;;;;;;;;;
 3,10 ; 18,07 ; 41,48 ; 3,50 ;;;;;;;;;;;;;;;;
 3,02 ; 16,35 ; 40,37 ; 3,28 ;;;;;;;;;;;;;;;;
 3,00 ; 16,60 ; 40,19 ; 3,27 ;;;;;;;;;;;;;;;;
 2,97 ; 16,75 ; 41,27 ; 3,39 ;;;;;;;;;;;;;;;;
 3,07 ; 17,36 ; 41,28 ; 3,61 ;;;;;;;;;;;;;;;;
 3,03 ; 18,90 ; 40,88 ; 3,89 ;;;;;;;;;;;;;;;;
 2,93 ; 17,36 ; 40,35 ; 3,78 ;;;;;;;;;;;;;;;;
 2,94 ; 16,26 ; 40,98 ; 3,57 ;;;;;;;;;;;;;;;;
 2,87 ; 15,38 ; 41,31 ; 3,33 ;;;;;;;;;;;;;;;;
 2,88 ; 14,64 ; 41,18 ; 3,30 ;;;;;;;;;;;;;;;;
 2,90 ; 14,95 ; 41,08 ; 3,32 ;;;;;;;;;;;;;;;;
 2,99 ; 15,84 ; 40,85 ; 3,44 ;;;;;;;;;;;;;;;;
 3,05 ; 16,65 ; 40,99 ; 3,51 ;;;;;;;;;;;;;;;;
 3,03 ; 16,35 ; 41,60 ; 3,73 ;;;;;;;;;;;;;;;;
 3,02 ; 15,01 ; 41,46 ; 3,74 ;;;;;;;;;;;;;;;;
 3,01 ; 15,00 ; 41,52 ; 3,68 ;;;;;;;;;;;;;;;;
 3,06 ; 15,63 ; 42,25 ; 3,86 ;;;;;;;;;;;;;;;;
 3,03 ; 15,84 ; 42,38 ; 3,80 ;;;;;;;;;;;;;;;;
 3,00 ; 14,72 ; 40,86 ; 3,80 ;;;;;;;;;;;;;;;;
 3,00 ; 15,22 ; 41,14 ; 3,84 ;;;;;;;;;;;;;;;;
 2,95 ; 15,07 ; 41,58 ; 3,84 ;;;;;;;;;;;;;;;;
 2,88 ; 14,45 ; 41,18 ; 3,87 ;;;;;;;;;;;;;;;;
 2,85 ; 13,72 ; 41,09 ; 3,80 ;;;;;;;;;;;;;;;;
 2,91 ; 13,97 ; 41,14 ; 3,86 ;;;;;;;;;;;;;;;;
 2,99 ; 13,55 ; 41,97 ; 4,00 ;;;;;;;;;;;;;;;;
 2,99 ; 14,68 ; 41,30 ; 3,92 ;;;;;;;;;;;;;;;;
 2,96 ; 15,35 ; 41,35 ; 3,89 ;;;;;;;;;;;;;;;;
 3,00 ; 17,90 ; 41,63 ; 3,89 ;;;;;;;;;;;;;;;;
 2,97 ; 16,80 ; 41,30 ; 3,75 ;;;;;;;;;;;;;;;;
 3,00 ; 16,84 ; 40,04 ; 3,80 ;;;;;;;;;;;;;;;;
 3,01 ; 16,56 ; 41,20 ; 3,69 ;;;;;;;;;;;;;;;;
 2,95 ; 16,92 ; 41,00 ; 3,58 ;;;;;;;;;;;;;;;;
 2,89 ; 16,75 ; 40,90 ; 3,86 ;;;;;;;;;;;;;;;;
 2,86 ; 16,64 ; 40,73 ; 3,93 ;;;;;;;;;;;;;;;;
 2,87 ; 17,05 ; 40,90 ; 3,99 ;;;;;;;;;;;;;;;;
 2,93 ; 17,14 ; 41,65 ; 4,13 ;;;;;;;;;;;;;;;;
 2,90 ; 17,84 ; 40,70 ; 3,97 ;;;;;;;;;;;;;;;;
 2,87 ; 18,30 ; 40,53 ; 4,03 ;;;;;;;;;;;;;;;;
 2,93 ; 19,20 ; 40,64 ; 4,09 ;;;;;;;;;;;;;;;;
 2,92 ; 18,90 ; 39,80 ; 4,06 ;;;;;;;;;;;;;;;;
 2,88 ; 19,30 ; 40,20 ; 4,18 ;;;;;;;;;;;;;;;;
 2,88 ; 20,19 ; 39,85 ; 4,16 ;;;;;;;;;;;;;;;;
 2,87 ; 19,03 ; 38,80 ; 4,11 ;;;;;;;;;;;;;;;;
 2,85 ; 18,85 ; 38,95 ; 4,06 ;;;;;;;;;;;;;;;;
 2,83 ; 18,82 ; 37,93 ; 4,06 ;;;;;;;;;;;;;;;;
 2,77 ; 19,28 ; 37,58 ; 4,13 ;;;;;;;;;;;;;;;;
 2,81 ; 19,45 ; 38,25 ; 4,20 ;;;;;;;;;;;;;;;;
 2,84 ; 19,25 ; 38,23 ; 4,28 ;;;;;;;;;;;;;;;;
 2,87 ; 19,89 ; 37,97 ; 4,28 ;;;;;;;;;;;;;;;;
 2,87 ; 19,15 ; 38,93 ; 4,31 ;;;;;;;;;;;;;;;;
 2,86 ; 18,64 ; 37,73 ; 4,56 ;;;;;;;;;;;;;;;;
 2,90 ; 18,19 ; 37,40 ; 4,38 ;;;;;;;;;;;;;;;;
 2,85 ; 17,91 ; 37,68 ; 4,59 ;;;;;;;;;;;;;;;;
 2,82 ; 17,25 ; 36,91 ; 4,34 ;;;;;;;;;;;;;;;;
 2,86 ; 17,35 ; 37,58 ; 4,41 ;;;;;;;;;;;;;;;;
 2,96 ; 17,42 ; 37,71 ; 4,43 ;;;;;;;;;;;;;;;;
 3,01 ; 17,68 ; 37,42 ; 4,33 ;;;;;;;;;;;;;;;;
 2,97 ; 18,94 ; 36,91 ; 4,26 ;;;;;;;;;;;;;;;;
 2,92 ; 18,80 ; 36,42 ; 4,18 ;;;;;;;;;;;;;;;;
 2,88 ; 18,49 ; 36,38 ; 4,32 ;;;;;;;;;;;;;;;;
 2,84 ; 17,50 ; 36,19 ; 4,14 ;;;;;;;;;;;;;;;;
 2,85 ; 17,84 ; 36,10 ; 4,20 ;;;;;;;;;;;;;;;;
 2,80 ; 17,29 ; 36,40 ; 4,15 ;;;;;;;;;;;;;;;;
 2,79 ; 17,07 ; 37,07 ; 4,13 ;;;;;;;;;;;;;;;;
 2,83 ; 18,21 ; 36,44 ; 4,11 ;;;;;;;;;;;;;;;;
 2,86 ; 18,19 ; 36,21 ; 4,04 ;;;;;;;;;;;;;;;;
 2,89 ; 19,66 ; 36,49 ; 4,13 ;;;;;;;;;;;;;;;;
 2,83 ; 18,42 ; 36,45 ; 3,99 ;;;;;;;;;;;;;;;;
 2,83 ; 18,10 ; 36,60 ; 4,07 ;;;;;;;;;;;;;;;;
 2,84 ; 17,50 ; 36,81 ; 3,95 ;;;;;;;;;;;;;;;;
 2,79 ; 17,40 ; 36,70 ; 3,69 ;;;;;;;;;;;;;;;;
 2,82 ; 17,69 ; 36,66 ; 3,81 ;;;;;;;;;;;;;;;;
 2,87 ; 18,83 ; 38,19 ; 3,91 ;;;;;;;;;;;;;;;;
 2,89 ; 18,80 ; 38,52 ; 3,81 ;;;;;;;;;;;;;;;;
 2,85 ; 17,81 ; 37,79 ; 3,72 ;;;;;;;;;;;;;;;;
 2,89 ; 18,30 ; 37,73 ; 3,73 ;;;;;;;;;;;;;;;;
 2,88 ; 18,04 ; 37,09 ; 3,61 ;;;;;;;;;;;;;;;;
 2,85 ; 17,51 ; 37,50 ; 3,63 ;;;;;;;;;;;;;;;;
 2,84 ; 18,20 ; 37,67 ; 3,72 ;;;;;;;;;;;;;;;;
 2,85 ; 18,98 ; 36,85 ; 3,89 ;;;;;;;;;;;;;;;;
 2,84 ; 18,12 ; 36,40 ; 3,72 ;;;;;;;;;;;;;;;;
 2,84 ; 18,15 ; 36,61 ; 3,70 ;;;;;;;;;;;;;;;;
 2,90 ; 18,81 ; 36,01 ; 3,88 ;;;;;;;;;;;;;;;;
 2,84 ; 18,31 ; 35,48 ; 3,79 ;;;;;;;;;;;;;;;;
 2,83 ; 18,30 ; 35,60 ; 3,85 ;;;;;;;;;;;;;;;;
 2,82 ; 18,29 ; 37,00 ; 3,82 ;;;;;;;;;;;;;;;;
 2,80 ; 18,86 ; 37,85 ; 3,88 ;;;;;;;;;;;;;;;;
 2,77 ; 18,62 ; 36,30 ; 3,83 ;;;;;;;;;;;;;;;;
 2,76 ; 17,78 ; 36,40 ; 3,83 ;;;;;;;;;;;;;;;;
 2,79 ; 19,55 ; 37,27 ; 4,08 ;;;;;;;;;;;;;;;;
 2,86 ; 21,24 ; 38,00 ; 4,35 ;;;;;;;;;;;;;;;;
 2,87 ; 22,27 ; 37,68 ; 4,36 ;;;;;;;;;;;;;;;;
 2,92 ; 22,61 ; 37,43 ; 4,44 ;;;;;;;;;;;;;;;;
 3,13 ; 26,75 ; 38,43 ; 4,64 ;;;;;;;;;;;;;;;;
 3,16 ; 26,79 ; 37,11 ; 4,69 ;;;;;;;;;;;;;;;;
 3,14 ; 24,55 ; 37,00 ; 4,49 ;;;;;;;;;;;;;;;;
 3,10 ; 23,99 ; 36,84 ; 4,71 ;;;;;;;;;;;;;;;;
 3,13 ; 25,30 ; 36,38 ; 4,69 ;;;;;;;;;;;;;;;;
 3,11 ; 26,00 ; 36,40 ; 4,98 ;;;;;;;;;;;;;;;;
 3,14 ; 24,60 ; 36,40 ; 5,05 ;;;;;;;;;;;;;;;;
 3,12 ; 23,77 ; 36,43 ; 5,03 ;;;;;;;;;;;;;;;;
 3,15 ; 25,19 ; 36,00 ; 5,28 ;;;;;;;;;;;;;;;;
 3,17 ; 25,74 ; 36,30 ; 5,22 ;;;;;;;;;;;;;;;;
 3,19 ; 25,57 ; 36,28 ; 5,28 ;;;;;;;;;;;;;;;;
 3,17 ; 24,58 ; 35,49 ; 5,25 ;;;;;;;;;;;;;;;;
 3,18 ; 25,24 ; 36,18 ; 5,26 ;;;;;;;;;;;;;;;;
 3,31 ; 26,00 ; 36,06 ; 5,21 ;;;;;;;;;;;;;;;;
 3,25 ; 25,10 ; 35,80 ; 5,20 ;;;;;;;;;;;;;;;;
 3,33 ; 26,25 ; 38,89 ; 5,29 ;;;;;;;;;;;;;;;;
 3,36 ; 26,60 ; 39,00 ; 5,28 ;;;;;;;;;;;;;;;;
 3,39 ; 26,79 ; 40,33 ; 5,31 ;;;;;;;;;;;;;;;;
 3,46 ; 27,08 ; 40,57 ; 5,41 ;;;;;;;;;;;;;;;;
 3,41 ; 26,83 ; 40,64 ; 4,95 ;;;;;;;;;;;;;;;;
 3,38 ; 25,88 ; 40,19 ; 4,72 ;;;;;;;;;;;;;;;;
 3,39 ; 25,45 ; 40,48 ; 4,61 ;;;;;;;;;;;;;;;;
 3,39 ; 26,10 ; 40,39 ; 4,58 ;;;;;;;;;;;;;;;;
 3,46 ; 26,34 ; 40,57 ; 4,80 ;;;;;;;;;;;;;;;;
 3,48 ; 25,97 ; 41,30 ; 4,79 ;;;;;;;;;;;;;;;;
 3,47 ; 26,15 ; 41,39 ; 4,86 ;;;;;;;;;;;;;;;;
 3,49 ; 28,02 ; 42,52 ; 4,89 ;;;;;;;;;;;;;;;;
 3,42 ; 27,77 ; 41,99 ; 4,88 ;;;;;;;;;;;;;;;;
 3,43 ; 27,85 ; 41,94 ; 4,85 ;;;;;;;;;;;;;;;;
 3,42 ; 27,82 ; 42,27 ; 5,00 ;;;;;;;;;;;;;;;;
 3,43 ; 27,65 ; 41,64 ; 5,07 ;;;;;;;;;;;;;;;;
 3,37 ; 27,63 ; 41,52 ; 4,94 ;;;;;;;;;;;;;;;;
 3,48 ; 28,93 ; 42,35 ; 5,27 ;;;;;;;;;;;;;;;;
 3,54 ; 29,03 ; 43,50 ; 5,31 ;;;;;;;;;;;;;;;;
 3,51 ; 29,25 ; 43,71 ; 5,35 ;;;;;;;;;;;;;;;;
 3,48 ; 28,32 ; 43,26 ; 5,14 ;;;;;;;;;;;;;;;;
 3,55 ; 28,68 ; 42,46 ; 5,07 ;;;;;;;;;;;;;;;;
 3,55 ; 28,49 ; 42,22 ; 5,15 ;;;;;;;;;;;;;;;;
 3,54 ; 28,57 ; 42,20 ; 5,15 ;;;;;;;;;;;;;;;;
 3,53 ; 28,70 ; 42,95 ; 5,17 ;;;;;;;;;;;;;;;;
 3,60 ; 29,04 ; 42,59 ; 5,14 ;;;;;;;;;;;;;;;;
 3,61 ; 28,67 ; 41,47 ; 5,02 ;;;;;;;;;;;;;;;;
 3,60 ; 29,61 ; 42,10 ; 5,14 ;;;;;;;;;;;;;;;;
 3,55 ; 29,21 ; 42,40 ; 5,25 ;;;;;;;;;;;;;;;;
 3,52 ; 29,23 ; 42,07 ; 5,23 ;;;;;;;;;;;;;;;;
 3,51 ; 28,50 ; 42,40 ; 5,33 ;;;;;;;;;;;;;;;;
 3,46 ; 27,88 ; 42,00 ; 5,31 ;;;;;;;;;;;;;;;;
 3,47 ; 28,69 ; 42,00 ; 5,50 ;;;;;;;;;;;;;;;;
 3,43 ; 27,57 ; 41,05 ; 5,53 ;;;;;;;;;;;;;;;;
 3,42 ; 26,94 ; 40,51 ; 5,56 ;;;;;;;;;;;;;;;;
 3,36 ; 26,41 ; 40,40 ; 5,71 ;;;;;;;;;;;;;;;;
 3,46 ; 26,15 ; 40,84 ; 5,52 ;;;;;;;;;;;;;;;;
 3,46 ; 27,72 ; 40,54 ; 5,44 ;;;;;;;;;;;;;;;;
 3,57 ; 28,17 ; 41,29 ; 5,66 ;;;;;;;;;;;;;;;;
 3,65 ; 32,26 ; 41,91 ; 5,81 ;;;;;;;;;;;;;;;;
 3,91 ; 34,20 ; 41,40 ; 5,75 ;;;;;;;;;;;;;;;;
 4,23 ; 33,96 ; 41,09 ; 5,58 ;;;;;;;;;;;;;;;;
 4,04 ; 32,50 ; 41,20 ; 5,66 ;;;;;;;;;;;;;;;;
 4,05 ; 33,59 ; 40,30 ; 5,62 ;;;;;;;;;;;;;;;;
 4,06 ; 33,93 ; 40,72 ; 5,60 ;;;;;;;;;;;;;;;;
 4,03 ; 34,37 ; 40,00 ; 5,65 ;;;;;;;;;;;;;;;;
 4,11 ; 34,30 ; 40,45 ; 5,55 ;;;;;;;;;;;;;;;;
 4,40 ; 34,09 ; 40,10 ; 5,59 ;;;;;;;;;;;;;;;;
 4,48 ; 32,86 ; 40,36 ; 5,53 ;;;;;;;;;;;;;;;;
 4,39 ; 33,52 ; 40,06 ; 5,47 ;;;;;;;;;;;;;;;;
 4,59 ; 33,92 ; 40,09 ; 5,45 ;;;;;;;;;;;;;;;;
 4,43 ; 35,69 ; 40,45 ; 5,44 ;;;;;;;;;;;;;;;;
 4,34 ; 35,86 ; 40,50 ; 5,22 ;;;;;;;;;;;;;;;;
 4,40 ; 35,80 ; 40,00 ; 5,06 ;;;;;;;;;;;;;;;;
 4,47 ; 36,50 ; 40,80 ; 5,30 ;;;;;;;;;;;;;;;;
 4,58 ; 36,95 ; 41,49 ; 5,23 ;;;;;;;;;;;;;;;;
 4,48 ; 37,02 ; 41,90 ; 5,23 ;;;;;;;;;;;;;;;;
 4,54 ; 38,81 ; 41,20 ; 5,57 ;;;;;;;;;;;;;;;;
 4,50 ; 39,78 ; 41,50 ; 5,50 ;;;;;;;;;;;;;;;;
 4,50 ; 40,70 ; 41,60 ; 5,60 ;;;;;;;;;;;;;;;;
 4,61 ; 40,96 ; 42,59 ; 5,59 ;;;;;;;;;;;;;;;;
 4,67 ; 40,28 ; 42,80 ; 5,53 ;;;;;;;;;;;;;;;;
 4,55 ; 39,50 ; 42,79 ; 5,48 ;;;;;;;;;;;;;;;;
 4,50 ; 37,89 ; 40,49 ; 5,30 ;;;;;;;;;;;;;;;;
 4,47 ; 37,43 ; 41,96 ; 5,21 ;;;;;;;;;;;;;;;;
 4,50 ; 37,40 ; 41,72 ; 5,31 ;;;;;;;;;;;;;;;;
 4,44 ; 38,11 ; 42,01 ; 5,17 ;;;;;;;;;;;;;;;;
 4,46 ; 37,73 ; 41,88 ; 5,15 ;;;;;;;;;;;;;;;;
 4,48 ; 38,80 ; 42,19 ; 5,04 ;;;;;;;;;;;;;;;;
 4,58 ; 39,83 ; 42,30 ; 5,33 ;;;;;;;;;;;;;;;;
 4,57 ; 39,45 ; 42,37 ; 5,12 ;;;;;;;;;;;;;;;;
 4,60 ; 38,69 ; 42,20 ; 5,27 ;;;;;;;;;;;;;;;;
 4,70 ; 38,70 ; 43,22 ; 5,30 ;;;;;;;;;;;;;;;;
 4,61 ; 37,46 ; 43,29 ; 5,08 ;;;;;;;;;;;;;;;;
 4,58 ; 38,76 ; 42,94 ; 5,03 ;;;;;;;;;;;;;;;;
 4,84 ; 39,82 ; 43,44 ; 5,56 ;;;;;;;;;;;;;;;;
 4,80 ; 39,49 ; 43,27 ; 5,43 ;;;;;;;;;;;;;;;;
 4,71 ; 39,32 ; 43,48 ; 5,58 ;;;;;;;;;;;;;;;;
 4,72 ; 40,75 ; 43,56 ; 5,50 ;;;;;;;;;;;;;;;;
 4,56 ; 38,97 ; 43,13 ; 5,42 ;;;;;;;;;;;;;;;;
 4,52 ; 37,49 ; 42,48 ; 5,48 ;;;;;;;;;;;;;;;;
 4,47 ; 37,26 ; 42,06 ; 5,36 ;;;;;;;;;;;;;;;;
 4,42 ; 35,10 ; 42,58 ; 5,54 ;;;;;;;;;;;;;;;;
 4,55 ; 35,89 ; 42,73 ; 5,65 ;;;;;;;;;;;;;;;;
 4,53 ; 37,87 ; 43,30 ; 5,71 ;;;;;;;;;;;;;;;;
